惯积岿,林具,荤绊扒荐,荤噶磊荐,吝惑磊荐,版惑磊荐,何惑脚绊磊荐
01,林,8682,98,2209,9440,759
01,具,5798,92,1539,6349,530
02,林,8056,95,2149,8710,710
02,具,5228,86,1419,5553,500
03,林,10393,109,2600,11132,880
03,具,5607,78,1449,5930,467
04,林,10460,93,2797,11356,1055
04,具,5876,89,1609,6181,551
05,林,11668,135,3132,12618,1178
05,具,5884,68,1576,6233,603
06,林,10962,114,2881,11797,1092
06,具,5754,88,1601,5893,613
07,林,10647,105,2755,11552,1138
07,具,5931,100,1554,6165,549
08,林,11185,136,2990,12252,1111
08,具,6027,110,1632,6287,641
09,林,11458,130,3063,12396,1119
09,具,6402,109,1777,6559,737
10,林,11039,141,3186,11609,1102
10,具,6294,124,1814,6383,559
11,林,11397,139,3143,12183,1081
11,具,6351,118,1706,6565,620
12,林,10540,107,2691,11407,1003
12,具,6657,87,1717,7019,643
